account,out_block_std,out_time_ptp,out_amount_sum,out_amount_max,out_amount_min,out_amount_mean,out_amount_std,out_count,out_unique,out_unique_ratio,in_block_std,in_time_ptp,in_amount_sum,in_amount_max,in_amount_min,in_amount_mean,in_amount_std,in_count,in_unique,in_unique_ratio,to_out_sum_media,to_out_min_std,to_out_sum_min,from_in_sum_min,from_in_min_std,from_in_min_sum,from_in_mean_sum
0x0b506d1948bf07a0621ab8cc61a63fb1b11fb0e8,4195957.956874021,1430312184.0,35.78122261,13.276112,0.99974751,5.11160323,3.6148862470231573,7,4,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,1414.3578079228982,245.92094200030536,0.06359999999999999,0,0,0,0
0x122c1e53a539dccb329e875c1fb8df53ffd3545b,4391645.797096493,1429917886.0,18.524245568999998,1.976409607,1.185754239,1.6840223244545454,0.25775754178853766,11,5,0.45454545454545453,0,0,0,0,0,0,0,0,0,0,1111.167854650596,92.054875650047,0.0836,0,0,0,0
0x731ea89b5d7394019911b81c9e31de0d18efcd31,8319962.952158986,1447754165.0,293.78382588629097,20.0,0.0,0.8902540178372456,1.6009469925172886,330,114,0.34545454545454546,3.5503865460176174,1447853318.0,199737245723.0,1547853317.0,1514317777.0,1524711799.4122138,7377287.821648121,131,114,0.8702290076335878,8986.58205508651,0.0,7409.423890782609,629.3557630633246,0.0,0.01,193011.37460587293
0xda00f881f2c5e56858449bd96e1a9ac30e78e4dd,2383385.73805487,1424907198.0,245.405052542,36.990046342,21.4895191,27.267228060222223,5.072445994943137,9,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,154.64341775371017,175.4084352647233,0.045,0,0,0,0
0x644ac9093be934eb21f0f3869247cbb9debf1d0c,0,0,0,0,0,0,0,0,0,0,0.0,1427582752.0,1527582751.0,1527582751.0,1527582751.0,1527582751.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
0x1d5953b9d4b6529f0b5d09cd1eb18bccd97f0c1d,10986997.35267053,1427596873.0,0.085,0.085,0.0,0.02125,0.03680607966083864,4,4,1.0,0.05047823,1427592494.0,3054738156.0,1527592493.0,1527145663.0,1527369078.0,223415.0,2,4,2.0,14.078278634918552,0.0,0.040691912020001,0.00145,0.34700536188114145,1.79512082,134631.8327384794
0x206582d130c995058b29265ff9ddcab7980f428e,4351284.908509661,1430257619.0,139.23360577100001,3.864403551,1.503629349,2.2825181273934425,0.6807347180499649,61,8,0.13114754098360656,0,0,0,0,0,0,0,0,0,0,1539.3182352569274,65.9922751346628,0.12359999999999999,0,0,0,0
0x507b544ab0c533bb16a531b2c3f683a29bbd9d7b,0,0,0,0,0,0,0,0,0,0,2.4678234249999997,1427589655.0,3040816372.0,1527589654.0,1513226718.0,1520408186.0,7181468.0,2,0,0.0,0,0,0,1.513,69.02606001445761,44076.10467684748,156668.98751649313
0x8b4b5776c5d5c48a80cd45af3254a415a3dd8fdd,0,0,0,0,0,0,0,0,0,0,0.5644883979360504,1427608260.0,4582117422.0,1527608259.0,1527240081.0,1527372474.0,167145.02519070078,3,0,0.0,0,0,0,1.061149691,295.5261249178611,211445.839600345,240353.8549782419
0x355ebd6572c4529f8d89bc1f6979eb759c93f4dc,0,0,0,0,0,0,0,0,0,0,0.0,1427585059.0,1527585058.0,1527585058.0,1527585058.0,1527585058.0,0.0,1,0,0.0,0,0,0,0.0,378.69404679540935,269261.8703561388,269261.8703561388
